stgdir	labelStr
Il fouille dans sa poche.	action
En montrant la colonne.	action
Montrant Pierrot.	action
Levant les yeux au ciel.	action
Il frappe à la porte d'Isabelle.	action
II ouvre le treillage, et l'on voit la Comtesse à la place de la statue.	action
Il frappe à sa porte.	action
Elle tire de sa poche un coffre dans lequel est un écrin de diamants.	action
Le Comte lit.	action
Montrant la fenêtre qui n'est pas éclairée.	action
Elle ouvre le médaillon, et fait voir à la Comtesse le portrait de Napoléon.	action
Job écarte lé drap noir avec épouvante. Les hommes masqués le laissent faire. Le comte lève le suaire et voit une figure pâle. C'est Régina.	action
Tamarin tire un billet.	action
Il se remet en attitude.	action
Indiquant du geste.	action
Il lit en lui donnant la main.	action
Il fouille dans ses poches et en tire un papier.	action
Il lit en parcourant.	action
Le Courtisan la regarde sans répondre.	action
Elle se lève de genoux.	action
Il prend Hector à la cravate.	aggression
Luville voyant Delval foncer sur lui, rompt précipitamment, dans la crainte de le blesser, Delval saute au désarmement, et lui ôte son épée.	aggression
Roger doit avoir les armes de Léon, sous lesquelles il avait combattu.	aggression
Ils se battent en finissant le deuxième acte.	aggression
Il frappe le chapeau trois fois avec son bâton.	aggression
Elle bande un autre arc dont elle s'arme à son tour.	aggression
Il lui découd la boudouille d'un terrible coup d'épée.	aggression
Là ils se battent.	aggression
Les Esclaves armés sont remplacés par les esclaves sans armes.	aggression
Il prend son épée par la pointe et l'élève au-dessus de sa tête.	aggression
Il met la main sur la garde de son épée.	aggression
Il veut encore prendre son épée.	aggression
Elle lui plonge le coutelas dans le corps, et paraît vouloir le séparer en deux comme pour le dévorer ; les soldats attirés de nouveau par la faim, reviennent, et l'un d'eux, en se reculant d'horreur, dit à l'arrière-scène :	aggression
Elle tire un poignard sur son sein.	aggression
Ils se tuent.	aggression
Là, Maître Godard le menace, encor, du geste, et Champagne poursuit, après.	aggression
Elle se frappe.	aggression
Là, ils recommencent de le battre.	aggression
Elle porte la bague à ses lèvres.	aggression
En même temps, il donne des coups de batte sur l'estomac des Ogres.	aggression
Elle dit ces mots un peu éloignée des autres.	aparte
Étant seule.	aparte
Le Capitan seul.	aparte
À part, avec ironie.	aparte
Aparte.	aparte
Il continue, étant seul.	aparte
Antoine, ce vieux Serviteur plein de zèle et d'affection pour son maître, reste seul dans la tente ; il déplace tout en voulant le mettre en ordre, il écoute de temps en temps les différents [qui] indiquent la situation des deux armées.	aparte
Croyant être seule.	aparte
À lui-même.	aparte
À part	aparte
Puis, étant seul.	aparte
Elle est seule.	aparte
Il demeure seul.	aparte
Parlant à part à son Capitaine des Gardes.	aparte
Un domestique vient lui dire que son carrosse est prêt.	aparte
Restée seule.	aparte
À Picard.	aparte
Puis à part.	aparte
[Ostorius continue en aparté, en pensant à Sarcide].	aparte
[À part.]	aparte
Tout bas.	delivery
D'une voix caverneuse.	delivery
Ribercour continue.	delivery
Elle chante cet air italien.	delivery
La suite de Bacchus danse.	delivery
Ces deux vers bas.	delivery
On entend crier en dehors.	delivery
Il prélude.	delivery
Julie rit.	delivery
Elle pleure en sanglotant.	delivery
Baissant la voix.	delivery
Criant au travers de la porte.	delivery
Alors Dieu menacera te serpent, en disant :	delivery
Les Rossignols de la Grotte de Versailles mêlent leurs Concerts à celui de plusieurs Instruments Champêtres, et les Bergères Iris et Caliste joignent leurs voix ensemble pour leur répondre.	delivery
Il chante sur un Vaudeville.	delivery
Il répète encore ces quatre derniers vers.	delivery
Il appelle André.	delivery
Achevant l'air.	delivery
L'enfant pleure.	delivery
Sainte Cécile chante.	delivery
Ils entrent d'un pas dégagé l'un du jardin, l'autre de la cour.	entrance
Entrée de jardiniers qui portent leurs corbeilles à Lucile.	entrance
Il entre dans la maison de Caton.	entrance
Roseline paraît au bout du théâtre.	entrance
ENTRÉE.	entrance
Chompré paraît.	entrance
II. Entrée du Flamand et de la Flamande.	entrance
Elle arrive par la porte de droite, et va d'abord écouter au pan de la cloison.	entrance
Alphée et Arethuse sortent des enfers.	entrance
Une tête de vieillard couronnée, à barbe ruisselante, est apparue dans l'encadrement, à la lueur d'un éclair.	entrance
Un médecin entre.	entrance
Ils entrent avec précaution.	entrance
Ici un page et deux dames masquées précédent Olympe avec deux flambeaux.	entrance
Le Comte de Salsbury entre.	entrance
Elle entre par le côté opposé à celui où est sortie Julie. Elle est coiffée en cheveux avec des rubans et porte une toilette élégante.	entrance
Illo paraît avec des soldats.	entrance
Nouvelle apparition.	entrance
Vénus et Momus paraissent sur la scène.	entrance
Crispin entre seul.	entrance
Alain rentre.	entrance
Elle sort avec le choeur.	exit
Tous sortent excepté Molière.	exit
Et quand ils sont partis.	exit
La magie se retire.	exit
Deux druides sortent.	exit
Sophar rentre dans la maison.	exit
Elle sort avec Carabosse.	exit
Oropaste sort.	exit
Sortie par la droite.	exit
Emire sort.	exit
Cléante sort d'un côté, et Dymas de l'autre, environ quatre vers après Cléante.	exit
Un Chariot sort.	exit
Il sort avec le Commandeur et le Comte.	exit
Julie sort.	exit
Ils sortent avec les valets et les flambeaux. Le duc précédant le roi une cire à la main.	exit
Killegre sort.	exit
Villiers disparaît.	exit
Ariane sort.	exit
Rosalie et Picard sortent.	exit
On donne congé au notaire.	exit
Elle va chercher les enfants et les amène.	interaction
Il lui met la main dans la poche	interaction
Lui prenant le pouls.	interaction
Il embrasse sa fille.	interaction
Lui baisant la bouche.	interaction
Le poussant du coude.	interaction
Les lutins veulent rebrousser et reporter Léandre dans l'Île Noire.	interaction
Elle prend contre lui toutes les précautions imaginables.	interaction
Elle prend une main de Pauline.	interaction
Phénice lui frappe sur l'épaule.	interaction
Les suivants d'Arcalaüs emmènent Corisande.	interaction
Elle se frotte la joue.	interaction
Madame La Thorillière arrive repoussant tout le monde.	interaction
Arnolphe lui prend la main sans qu'elle le reconnaisse.	interaction
Valcour pousse vivement Florval.	interaction
Il désigne son coeur.	interaction
Il l'embrasse encore.	interaction
Ils s'embrassent.	interaction
Elle prend la main de l'aîné.	interaction
Elle va aussi pour l'embrasser.	interaction
Mercure veut s'en aller.	movement
Ils le suivent.	movement
Il va vers Arons.	movement
Ils veulent tous s'en aller.	movement
Sur un signe de Berthe, les jeunes filles s'approchent d'Antoinette.	movement
Il s'enfuit.	movement
Il se tire à l'écart.	movement
Polidor doit avoir suivi Tirsis.	movement
Ils l'entourent tous ensemble.	movement
Elle va pour s'en aller.	movement
Revenant à Gourville l'aîné.	movement
Catherine s'avance vers François.	movement
Pierrot et les sauvages s'en retournent avec le Gougou.	movement
Il continue en marchant.	movement
Il se dispose à s'en aller.	movement
Ils s'approchent de lui.	movement
S'approchant de Julie et de Miss Jackson.	movement
Elle agit en parlant.	movement
Elle veut s'éloigner.	movement
Ils rapprochent les feuilles et lisent très vite.	movement
Stances.	music
Antistrophe VI.	music
Air : La rose et le bouton.	music
Air. Allez donc, jouez violon.	music
Air : Comment faire.	music
AIR 76. ( Ha, qui vous a, qui vous ai qui vous a. )	music
AIR d'Yelva.	music
Air : Belle Chanoinesse.	music
SEXTUOR.	music
AIR : Je veux une robe.	music
AIR 202 : Gorgones de Persée.	music
Air : Babet que t'es gentille.	music
AIR. Un jour le malheureux Lisandre.	music
Symphonie.	music
III COUPLET.	music
Air tendre.	music
Air : Point de bruit, etc.	music
AIR : Donnez, Amants, mais donnez bien.	music
Air : Fournissez un canal au ruisseau.	music
COUPLETS.	music
Une tempête survient.	narration
Le paysan veut à son tour prendre Ninette ; mais l'âne, qui s'impatiente, commence à sauter et lancer des ruades à droite et à gauche. Le paysan, pour en éviter une dans le ventre, se retourne et la reçoit dans le derrière. Ninette, qui, pendant ce débat, n'a cessé de crier Maman ! pique son âne et se sauve en disant :	narration
Il lui arrache sa perruque de dessus la tête. Frac est d'abord tout interdit de se trouver sans perruque ; mais il prend son parti et en lève celle de Tressant, qui métamorphose à son tour en enfant de choeur ; et il se sauve en se coiffant avec. Les bras tombent au sublime Monsieur Tressant, et Madame Lavade et le garçon de boutique étouffent de rire de voir cette tête pelée et cette figure stupidement étonnée ne pas songer seulement à se couvrir de celle qu'il vient d'ôter au tailleur, et qu'il tient encore dans sa main.	narration
On entend des tambours.	narration
Le fiacre franchit des obstacles, disperse des piétons aux épaules rondes, et les lumières, lancées comme des boules de feu, éclatent sur ses vitres et s'éteignent.	narration
La bouteille d'Aï achevée, la Marquise, le Chevalier, le Président, Eglante, le Baron se lèvent pour aller voir le cabinet. Ils prennent plusieurs bourgeois qui sont sur les encoignures.	narration
Le Théâtre représente un paysage agreste, orné de quelques maisons ; celle de Monsieur de Kerkabon est la première, à gauche ; la seconde appartient à Monsieur de Saint-Yves ; elles sont à peu de distance l'une de l'autre, et seulement séparées par quelques arbres, annonçant une avenue. Le fond du théâtre est occupé par trois collines opposées. Au dessus de la seconde, à droite du spectateur, s'élève un mur de couvent, hérissé de pointes de fer, et renfermant une espèce de parc, à l'extrémité duquel on aperçoit une partie du monastère, surmonté d'un clocher en dehors. Sur le portail attenant au mur de clôture, on lit : COUVENT DES URSULINES. Le reste de la scène est orné de groupes d'arbres, de gazons, de fleurs, de berceaux, etc. etc.	narration
Sa tête tombe sur sa poitrine; il sort à pas lents par le fond du théâtre. Otbert, qui est entré depuis quelques instants, le suit des yeux. Le mendiant s'enfonce sous les arcades de la galerie. Tout à coup le visage d'Otbert s'éclaire d'une expression de joie et de surprise. Régina apparaît au fond du théâtre, du côté opposé à celui par lequel le mendiant est sorti. Régina radieuse de bonheur et de santé.	narration
Thérèse. restée seule, demeure un instant immobile, regardant autour d'elle, respirant enfin. Jeu muet. Elle descend la scène, s'étire dans un geste de lassitude et d'ennui. Puis, elle entend Laurent entrer par la petite porte, à gauche, et elle sourit, frémissante d'une joie subite. - Pendant cette scène, la nuit se fait de plus en plus.	narration
Pendant qu'il songe, les yeux baissés, Maximienne a détaché l'agrafe qui retenait sur l'épaule droite son manteau blanc, de la même blancheur que la tunique ; elle le jette sur le dossier de la bancelle, et apparaît les bras nus et couverts de bracelets, le cou un peu dévêtu et ceint d'un collier, d'où pendent sur sa poitrine deux petites bulles d'argent, pareilles à des grelots. Toute riante, les mains en avant, elle s'approche de Théodat, qui sursaute, lui échappe et vient s'appuyer contre la bancelle, où elle le rejoint, suppliante.	narration
Le ciel s'éclaircit, l'orage cesse, et la mer s'apaise.	narration
Il se met dans le confessionnal ; Girolamo va ouvrir la porte à droite ; entre Loretta couverte d'un voile. Elle s'approche, du confessionnal, s'agenouille et commence sa prière. Girolamo est sorti.	narration
Cette scène est encore italienne et étrangère au sujet de la pièce : elle consiste en jeux de théâtre et lazzis italiens entre Pierrot et Pasquariel, qui sont amoureux l'un et l'autre de Marinette. Leur rivalité et leurs querelles font l'objet de cette scène.	narration
Il frappe de nouveau des mains.	narration
Ici il se fait un grand tintamarre de Trompettes et de Tambours, ils tournent derrière le théâtre du côté du Château, et l'on entend que le bruit.	narration
Melpomène qui préside à la tragédie et Euterpe qui a inventé l'Harmonie pastorale s'avancent sur deux nuages. Melpomène paraît au milieu de plusieurs trophées d'armes ; et Euterpe environnée de festons et de couronnes de fleurs. Elles sont précédées de deux symphonies opposées, dont l'une est très forte, et l'autre extrêmement douce, et qui forment une espèce de combat, tandis que les deux muses viennent se placer aux deux côtés de Polymnie pour la prier d'embellir les divertissements qu'elles veulent préparer.	narration
