batch_id	batch_type	language	model_name	prompt_tokens	completion_tokens	total_tokens	mean_tokens_per_completion	response_time	mean_response_time_per_completion
batch_008	1	en	gpt-4o-mini	6502566	60929	6563495	69.47434435575826	1340314.0461444855	1528.2942373369276
batch_009	1	en	gpt-4o	6502566	66070	6568636	75.33637400228051	2546572.791814804	2903.731803665683
batch_010	1	fr	gpt-4o-mini	6911265	72266	6983531	82.40136830102622	1828519.0489292145	2084.9704092693437
batch_015	1	fr	gpt-4o	6911265	74262	6985527	84.67730900798176	2413290.184020996	2751.756196147088
batch_206	1	fr	mistral-large-latest	8587035	80854	8667889	92.19384264538198	4437088.19770813	5059.393611981904
batch_207	1	en	mistral-large-latest	7553929	71538	7625467	81.57126567844927	3908726.0670661926	4456.928240668407
batch_208	1	fr	mistral-small-latest	8588789	98225	8687014	112.00114025085519	2351626.5523433685	2681.4441873926667
batch_209	1	en	mistral-small-latest	7555683	92142	7647825	105.06499429874573	2078100.3217697144	2369.5556690646686
batch_326	75	fr	gpt-4o-mini	108051	38116	146167	3176.3333333333335	373543.67327690125	31128.63943974177
batch_327	75	en	gpt-4o-mini	102171	35803	137974	2983.5833333333335	311514.38426971436	25959.532022476196
batch_328	75	en	gpt-4o	102171	40245	142416	3353.75	436315.88315963745	36359.65692996979
batch_329	75	fr	gpt-4o	108051	39757	147808	3313.0833333333335	436838.11044692993	36403.17587057749
batch_330	75	en	mistral-small-latest	121558	53302	174860	4441.833333333333	736641.4334774017	61386.78612311681
batch_331	75	fr	mistral-small-latest	136126	53945	190071	4495.416666666667	799919.2111492157	66659.93426243465
batch_332	75	fr	mistral-large-latest	136126	49158	185284	4096.5	1404328.8180828094	117027.40150690079
batch_333	75	en	mistral-large-latest	121558	50290	171848	4190.833333333333	1460890.382528305	121740.86521069209
