	text	gold	goldStr	text2	sys	sysStr	cf_sents
0	L'avocat sort.	5	exit	L'avocat sort.	5	exit	0
1	C'est dans cette scène que les lutins déguisés font une cérémonie magique pour feindre d'embellir Forestan, et pour se moquer de lui. Deux magiciens paraissent chacun une baguette à la main, ils frappent, la Terre en dansant, et font sortir six démons qui se joignent avec eux. Trois sorcières sortent aussi de dessous terre, et faisant asseoir Forestan au milieu d'elles, mêlent leur chants aux danses des Magiciens et des Démons, pour former une manière d'enchantement.	9	narration	C'est dans cette scène que les lutins déguisés font une cérémonie magique pour feindre d'embellir Forestan, et pour se moquer de lui. Deux magiciens paraissent chacun une baguette à la main, ils frappent, la Terre en dansant, et font sortir six démons qui se joignent avec eux. Trois sorcières sortent aussi de dessous terre, et faisant asseoir Forestan au milieu d'elles, mêlent leur chants aux danses des Magiciens et des Démons, pour former une manière d'enchantement.	9	narration	0
2	Sixième Couplet.	8	music	Sixième Couplet.	9	narration	0
3	Nérine paraît.	4	entrance	Nérine paraît.	4	entrance	0
4	Il passe devant Évelina.	11	setting	Il passe devant Évelina.	7	movement	0
5	LE CHOEUR répète.	3	delivery	LE CHOEUR répète.	8	music	0
6	À Dariolette.	12	toward	À Dariolette.	12	toward	0
7	Ceux à qui elle parle se retirent.	5	exit	Ceux à qui elle parle se retirent.	5	exit	0
8	DIVERTISSEMENT d'artificiers et d'artificières.	11	setting	DIVERTISSEMENT d'artificiers et d'artificières.	8	music	0
9	On entend quelqu'un qui vient.	4	entrance	On entend quelqu'un qui vient.	4	entrance	0
10	Le valet, de de chambre sort.	5	exit	Le valet, de de chambre sort.	5	exit	0
11	Bricard entre.	4	entrance	Bricard entre.	4	entrance	0
12	Il va à elle.	7	movement	Il va à elle.	6	interaction	0
13	Air de la Croisée.	8	music	Air de la Croisée.	8	music	0
14	Aparté.	2	aparte	Aparté.	2	aparte	0
15	Jetant les cartes.	10	object	Jetant les cartes.	0	action	0
16	Aux Gardes.	12	toward	Aux Gardes.	4	entrance	0
17	À Christierne.	12	toward	À Christierne.	12	toward	0
18	Zerbine sort.	5	exit	Zerbine sort.	0	action	0
19	À Léandre	12	toward	À Léandre	12	toward	0
20	Elle appelle Lubin.	3	delivery	Elle appelle Lubin.	6	interaction	0
21	Lisant.	0	action	Lisant.	0	action	0
22	Elle sort suivie de son page et de la Comtesse.	5	exit	Elle sort suivie de son page et de la Comtesse.	5	exit	0
