	precision	recall	f1-score	support
action	0.632	0.545	0.586	486
aggression	0.803	0.707	0.752	75
aparte	0.875	1.000	0.933	14
delivery	0.810	0.460	0.587	213
entrance	0.527	0.844	0.649	128
exit	0.810	0.793	0.802	242
interaction	0.352	0.804	0.490	102
movement	0.385	0.630	0.478	119
music	0.962	0.867	0.912	577
narration	0.667	0.567	0.613	120
object	0.655	0.731	0.691	208
setting	0.618	0.811	0.702	190
toward	0.979	0.715	0.826	449
accuracy	0.712	2923
macro avg	0.698	0.729	0.694	2923
weighted avg	0.761	0.712	0.722	2923
