stgdir	label	labelStr
Il fouille dans sa poche.	0	action
En montrant la colonne.	0	action
Montrant Pierrot.	0	action
Levant les yeux au ciel.	0	action
Il frappe à la porte d'Isabelle.	0	action
II ouvre le treillage, et l'on voit la Comtesse à la place de la statue.	0	action
Il frappe à sa porte.	0	action
Elle tire de sa poche un coffre dans lequel est un écrin de diamants.	0	action
Le Comte lit.	0	action
Montrant la fenêtre qui n'est pas éclairée.	0	action
Elle ouvre le médaillon, et fait voir à la Comtesse le portrait de Napoléon.	0	action
Job écarte lé drap noir avec épouvante. Les hommes masqués le laissent faire. Le comte lève le suaire et voit une figure pâle. C'est Régina.	0	action
Tamarin tire un billet.	0	action
Il se remet en attitude.	0	action
Indiquant du geste.	0	action
Il lit en lui donnant la main.	0	action
Il fouille dans ses poches et en tire un papier.	0	action
Il lit en parcourant.	0	action
Le Courtisan la regarde sans répondre.	0	action
Elle se lève de genoux.	0	action
Il prend Hector à la cravate.	1	aggression
Luville voyant Delval foncer sur lui, rompt précipitamment, dans la crainte de le blesser, Delval saute au désarmement, et lui ôte son épée.	1	aggression
Roger doit avoir les armes de Léon, sous lesquelles il avait combattu.	1	aggression
Ils se battent en finissant le deuxième acte.	1	aggression
Il frappe le chapeau trois fois avec son bâton.	1	aggression
Elle bande un autre arc dont elle s'arme à son tour.	1	aggression
Il lui découd la boudouille d'un terrible coup d'épée.	1	aggression
Là ils se battent.	1	aggression
Les Esclaves armés sont remplacés par les esclaves sans armes.	1	aggression
Il prend son épée par la pointe et l'élève au-dessus de sa tête.	1	aggression
Il met la main sur la garde de son épée.	1	aggression
Il veut encore prendre son épée.	1	aggression
Elle lui plonge le coutelas dans le corps, et paraît vouloir le séparer en deux comme pour le dévorer ; les soldats attirés de nouveau par la faim, reviennent, et l'un d'eux, en se reculant d'horreur, dit à l'arrière-scène :	1	aggression
Elle tire un poignard sur son sein.	1	aggression
Ils se tuent.	1	aggression
Là, Maître Godard le menace, encor, du geste, et Champagne poursuit, après.	1	aggression
Elle se frappe.	1	aggression
Là, ils recommencent de le battre.	1	aggression
Elle porte la bague à ses lèvres.	1	aggression
En même temps, il donne des coups de batte sur l'estomac des Ogres.	1	aggression
Elle dit ces mots un peu éloignée des autres.	2	aparte
Étant seule.	2	aparte
Le Capitan seul.	2	aparte
À part, avec ironie.	2	aparte
Aparte.	2	aparte
Il continue, étant seul.	2	aparte
Antoine, ce vieux Serviteur plein de zèle et d'affection pour son maître, reste seul dans la tente ; il déplace tout en voulant le mettre en ordre, il écoute de temps en temps les différents [qui] indiquent la situation des deux armées.	2	aparte
Croyant être seule.	2	aparte
À lui-même.	2	aparte
À part	2	aparte
Puis, étant seul.	2	aparte
Elle est seule.	2	aparte
Il demeure seul.	2	aparte
Parlant à part à son Capitaine des Gardes.	2	aparte
Un domestique vient lui dire que son carrosse est prêt.	2	aparte
Restée seule.	2	aparte
À Picard.	2	aparte
Puis à part.	2	aparte
[Ostorius continue en aparté, en pensant à Sarcide].	2	aparte
[À part.]	2	aparte
Tout bas.	3	delivery
D'une voix caverneuse.	3	delivery
Ribercour continue.	3	delivery
Elle chante cet air italien.	3	delivery
La suite de Bacchus danse.	3	delivery
Ces deux vers bas.	3	delivery
On entend crier en dehors.	3	delivery
Il prélude.	3	delivery
Julie rit.	3	delivery
Elle pleure en sanglotant.	3	delivery
Baissant la voix.	3	delivery
Criant au travers de la porte.	3	delivery
Alors Dieu menacera te serpent, en disant :	3	delivery
Les Rossignols de la Grotte de Versailles mêlent leurs Concerts à celui de plusieurs Instruments Champêtres, et les Bergères Iris et Caliste joignent leurs voix ensemble pour leur répondre.	3	delivery
Il chante sur un Vaudeville.	3	delivery
Il répète encore ces quatre derniers vers.	3	delivery
Il appelle André.	3	delivery
Achevant l'air.	3	delivery
L'enfant pleure.	3	delivery
