text	gold	text2	sys	cf_sents
L'avocat sort.	5	L'avocat sort.	5	0
C'est dans cette scène que les lutins déguisés font une cérémonie magique pour feindre d'embellir Forestan, et pour se moquer de lui. Deux magiciens paraissent chacun une baguette à la main, ils frappent, la Terre en dansant, et font sortir six démons qui se joignent avec eux. Trois sorcières sortent aussi de dessous terre, et faisant asseoir Forestan au milieu d'elles, mêlent leur chants aux danses des Magiciens et des Démons, pour former une manière d'enchantement.	9	C'est dans cette scène que les lutins déguisés font une cérémonie magique pour feindre d'embellir Forestan, et pour se moquer de lui. Deux magiciens paraissent chacun une baguette à la main, ils frappent, la Terre en dansant, et font sortir six démons qui se joignent avec eux. Trois sorcières sortent aussi de dessous terre, et faisant asseoir Forestan au milieu d'elles, mêlent leur chants aux danses des Magiciens et des Démons, pour former une manière d'enchantement.	9	0
Sixième Couplet.	8	Sixième Couplet.	9	0
Nérine paraît.	4	Nérine paraît.	4	0
Il passe devant Évelina.	11	Il passe devant Évelina.	7	0
LE CHOEUR répète.	3	LE CHOEUR répète.	8	0
À Dariolette.	12	À Dariolette.	12	0
Ceux à qui elle parle se retirent.	5	Ceux à qui elle parle se retirent.	5	0
DIVERTISSEMENT d'artificiers et d'artificières.	11	DIVERTISSEMENT d'artificiers et d'artificières.	8	0
On entend quelqu'un qui vient.	4	On entend quelqu'un qui vient.	4	0
Le valet, de de chambre sort.	5	Le valet, de de chambre sort.	5	0
Bricard entre.	4	Bricard entre.	4	0
Il va à elle.	7	Il va à elle.	6	0
Air de la Croisée.	8	Air de la Croisée.	8	0
Aparté.	2	Aparté.	2	0
Jetant les cartes.	10	Jetant les cartes.	0	0
Aux Gardes.	12	Aux Gardes.	4	0
À Christierne.	12	À Christierne.	12	0
Zerbine sort.	5	Zerbine sort.	0	0
À Léandre	12	À Léandre	12	0
Elle appelle Lubin.	3	Elle appelle Lubin.	6	0
Lisant.	0	Lisant.	0	0
Elle sort suivie de son page et de la Comtesse.	5	Elle sort suivie de son page et de la Comtesse.	5	0
AIR NOUVEAU : Musique d'Augusrte BLANGY.	8	AIR NOUVEAU : Musique d'Augusrte BLANGY.	8	0
Il la frappe	1	Il la frappe	1	0
Il lui donne le rouleau.	10	Il lui donne le rouleau.	10	0
Bobielle va jeter dans le vase quelque chose qu'elle porte dans son tablier.	10	Bobielle va jeter dans le vase quelque chose qu'elle porte dans son tablier.	0	0
Adonias sort.	5	Adonias sort.	0	0
La Montagne s'en va.	5	La Montagne s'en va.	5	0
Il l'ôte à Liliane.	10	Il l'ôte à Liliane.	0	0
Il fait lever la toile.	11	Il fait lever la toile.	7	0
Le Docteur le prend par la manche. Arlequin veut s'échapper de ses mains, et son justaucorps reste au Docteur. Arlequin s'enfuit ; le Docteur le poursuit en parlant toujours ad libitum.	9	Le Docteur le prend par la manche. Arlequin veut s'échapper de ses mains, et son justaucorps reste au Docteur. Arlequin s'enfuit ; le Docteur le poursuit en parlant toujours ad libitum.	6	0
Actor s'en va.	5	Actor s'en va.	5	0
Elle déchire la lettre.	10	Elle déchire la lettre.	0	0
Air nouveau de Couder.	8	Air nouveau de Couder.	8	0
À Poquelin.	12	À Poquelin.	12	0
Air : Je veux t'être un Chien, etc.	8	Air : Je veux t'être un Chien, etc.	3	0
Elle aperçoit Dorval et change de ton.	0	Elle aperçoit Dorval et change de ton.	6	0
À Lucinde.	12	À Lucinde.	12	0
Elle s'arrange la figure devant la glace.	10	Elle s'arrange la figure devant la glace.	0	0
Il tend l'oreille anxieusement.	0	Il tend l'oreille anxieusement.	0	0
Il lui donne deux lettres dont il lit l'inscription.	10	Il lui donne deux lettres dont il lit l'inscription.	10	0
À un tribun.	12	À un tribun.	12	0
Il rit beaucoup.	3	Il rit beaucoup.	3	0
Il prend une lettre dans sa poche et va la poser sur la bûche.	10	Il prend une lettre dans sa poche et va la poser sur la bûche.	0	0
AIR : Y a coups de pieds, etc.	8	AIR : Y a coups de pieds, etc.	1	0
AIR : Vaudeville des Visitandines.	8	AIR : Vaudeville des Visitandines.	8	0
À Ariarathe	12	À Ariarathe	12	0
Il s'adresse à Ragotin.	12	Il s'adresse à Ragotin.	12	0
Il est en prison.	11	Il est en prison.	11	0
PREMIER COUPLET.	8	PREMIER COUPLET.	9	0
AIR : Evohe ! que ces déesses...	8	AIR : Evohe ! que ces déesses...	3	0
Il lui balsa la main.	6	Il lui balsa la main.	6	0
À Laurent.	12	À Laurent.	12	0
Air 107 : Faites boire à triple mesure.	8	Air 107 : Faites boire à triple mesure.	0	0
Montrant Jenneval.	0	Montrant Jenneval.	6	0
Air : Dis-moi donc, mon cher Hypolite.	8	Air : Dis-moi donc, mon cher Hypolite.	12	0
Le mousse montre comment charger un mousquet. Le bosco bouge le canon. Molière trouve un chapeau avec une grande plume et s'en affuble.	9	Le mousse montre comment charger un mousquet. Le bosco bouge le canon. Molière trouve un chapeau avec une grande plume et s'en affuble.	0	0
AIR. Un inconnu.	8	AIR. Un inconnu.	4	0
Les violons jouent un branle pendant que Polydas parle et que les conviés dansent.	8	Les violons jouent un branle pendant que Polydas parle et que les conviés dansent.	8	0
Don Carlos tire son épée.	0	Don Carlos tire son épée.	1	0
Il s'assied dans le fauteuil.	0	Il s'assied dans le fauteuil.	0	0
Valérian chante.	3	Valérian chante.	8	0
Il fait un mouvement pour se lever.	0	Il fait un mouvement pour se lever.	7	0
